ID,SEASON,TRIAL,A_x,A_y,B_x,B_y,C_x,C_y,D_x,D_y,FOOD_x,FOOD_y,cmxpixel,unique_trial_ID
20201106-2,winter,T1,63.862592,74.09472,118.904384,20.111424,171.652768,75.329632,117.669472,127.9016,143.602624,28.755808,0.176416,winter_20201106-2_T1
20201106-2,winter,T2,64.39184,74.09472,119.610048,19.582176,171.829184,74.9768,118.022304,127.9016,140.427136,30.8728,0.176416,winter_20201106-2_T2
20201106-2,winter,T3,63.333344,74.9768,118.375136,19.582176,171.299936,74.9768,118.022304,127.725184,142.720544,31.225632,0.176416,winter_20201106-2_T3
20201106-2,winter,T4,64.039008,73.036224,119.610048,19.052928,172.0056,74.623968,118.022304,127.372352,140.25072,27.873728,0.176416,winter_20201106-2_T4
20201106-2,winter,T5,63.333344,73.21264,119.257216,19.935008,171.476352,74.9768,117.669472,127.548768,140.779968,29.461472,0.176416,winter_20201106-2_T5
20201106-2,winter,T6,63.862592,73.918304,119.610048,19.582176,171.829184,74.447552,117.845888,127.548768,141.662048,27.873728,0.176416,winter_20201106-2_T6
20201106-2,winter,T7,64.039008,73.21264,119.433632,18.876512,172.182016,74.447552,117.669472,127.372352,141.485632,27.873728,0.176416,winter_20201106-2_T7
20201106-2,winter,T8,63.862592,73.741888,119.610048,19.582176,171.299936,74.800384,117.845888,127.725184,140.956384,28.932224,0.176416,winter_20201106-2_T8
20201106-2,winter,T9,63.862592,73.21264,119.257216,19.40576,171.829184,74.623968,118.022304,127.548768,143.426208,31.225632,0.176416,winter_20201106-2_T9
20201106-2,winter,T10,64.215424,74.09472,120.315712,19.758592,172.182016,75.153216,118.022304,127.725184,141.662048,29.285056,0.176416,winter_20201106-2_T10
20210215-1,winter,T1,62.980512,71.624896,117.493056,16.230272,172.0056,71.095648,119.257216,125.25536,141.662048,23.992576,0.176416,winter_20210215-1_T1
20210215-1,winter,T2,63.156928,72.33056,118.19872,16.935936,172.534848,70.037152,119.610048,125.431776,139.545056,24.521824,0.176416,winter_20210215-1_T2
20210215-1,winter,T3,62.980512,71.977728,117.845888,16.583104,171.12352,70.742816,119.786464,125.608192,140.427136,24.69824,0.176416,winter_20210215-1_T3
20210215-1,winter,T4,62.980512,72.33056,117.31664,16.406688,171.829184,70.389984,118.904384,124.902528,139.721472,24.69824,0.176416,winter_20210215-1_T4
20210215-1,winter,T5,63.862592,71.977728,118.19872,15.87744,173.064096,70.213568,118.551552,125.608192,139.897888,24.874656,0.176416,winter_20210215-1_T5
20210215-1,winter,T6,63.686176,72.33056,118.375136,17.112352,172.711264,70.389984,118.727968,125.784608,140.603552,25.756736,0.176416,winter_20210215-1_T6
20210215-1,winter,T7,62.980512,71.977728,116.963808,16.583104,172.0056,70.742816,118.727968,125.431776,139.192224,25.403904,0.176416,winter_20210215-1_T7
20210215-1,winter,T8,62.62768,71.977728,117.493056,17.288768,172.182016,69.860736,118.375136,125.961024,139.721472,24.521824,0.176416,winter_20210215-1_T8
20210215-1,winter,T9,62.980512,72.683392,117.31664,16.583104,172.0056,69.68432,118.727968,125.078944,139.36864,25.403904,0.176416,winter_20210215-1_T9
20210215-1,winter,T10,63.862592,71.977728,118.375136,16.75952,172.0056,70.742816,118.727968,125.784608,139.897888,25.756736,0.176416,winter_20210215-1_T10
20210302-1,winter,T2,55.041792,67.390912,109.554336,12.172704,163.890464,67.743744,109.025088,121.550624,131.077088,22.052,0.176416,winter_20210302-1_T2
20210302-1,winter,T3,54.159712,67.567328,110.436416,13.2312,163.361216,67.92016,109.37792,122.079872,132.312,22.93408,0.176416,winter_20210302-1_T3
20210302-1,winter,T4,54.512544,68.096576,109.37792,12.525536,163.537632,67.92016,109.37792,121.72704,133.370496,22.052,0.176416,winter_20210302-1_T4
20210302-1,winter,T5,54.68896,68.096576,108.919893949969,13.407616,164.419712,68.272992,109.37792,122.079872,132.488416,22.404832,0.176416,winter_20210302-1_T5
20210302-1,winter,T6,55.041792,67.743744,109.37792,12.34912,163.890464,68.096576,108.49584,122.432704,133.370496,22.228416,0.176416,winter_20210302-1_T6
20210302-1,winter,T7,53.630464,67.743744,109.554336,12.525536,162.655552,67.567328,108.848672,121.72704,131.253504,21.875584,0.176416,winter_20210302-1_T7
20210302-1,winter,T8,53.454048,67.567328,109.025088,13.407616,163.1848,67.567328,109.201504,122.785536,131.959168,22.228416,0.176416,winter_20210302-1_T8
20210302-1,winter,T9,54.336128,67.743744,109.201504,13.054784,164.94896,67.92016,109.201504,122.079872,131.782752,22.404832,0.176416,winter_20210302-1_T9
20210302-1,winter,T10,54.512544,68.272992,109.025088,12.525536,164.419712,67.743744,109.201504,122.079872,131.959168,22.93408,0.176416,winter_20210302-1_T10
20201031-1,spring,T1,53.370872,71.221265,108.003893,14.244253,164.620291,68.877274,109.98727,125.133058,133.42718,24.882366,0.180307,spring_20201031-1_T1
20201031-1,spring,T2,54.993635,71.762186,109.98727,13.883639,165.341519,69.057581,110.528191,124.952751,134.148408,25.24298,0.180307,spring_20201031-1_T2
20201031-1,spring,T3,53.731486,71.221265,107.643279,14.244253,164.439984,69.418195,110.528191,124.592137,133.968101,24.521752,0.180307,spring_20201031-1_T3
20201031-1,spring,T4,54.813328,70.680344,110.347884,13.162411,165.521826,67.975739,110.347884,124.41183,132.525645,23.800524,0.180307,spring_20201031-1_T4
